4562533,Alatos de Fuente,Alatos de Fuente,,18.20246,-66.05767,P,PPL,PR,,25,7269055,,,0,140,130,America/Puerto_Rico,8/3/15
4562534,Albergue de Niños,Albergue de Ninos,Albergue de Ninos,18.01052,-66.63656,S,BLDG,PR,,113,7268316,,,0,13,19,America/Puerto_Rico,8/3/15
4562535,Ayuntamiento de San Juan,Ayuntamiento de San Juan,"Alcaldia de San Juan,San Juan City Hall",18.46552,-66.11666,S,BLDG,PR,,127,7268975,,,0,3,33,America/Puerto_Rico,8/3/15
4562536,Alcadia de Bayamon,Alcadia de Bayamon,,18.39606,-66.15461,S,BLDG,PR,,21,7268246,,,0,10,13,America/Puerto_Rico,8/3/15
4562537,Alcantavilla,Alcantavilla,,18.47717,-66.85323,P,PPL,PR,,27,7268311,,,0,61,67,America/Puerto_Rico,8/3/15
4562538,Alcarraza,Alcarraza,Fungy Bowl,18.36107,-65.36905,T,ISL,PR,,49,,,,0,21,-9999,America/Puerto_Rico,11/20/13
4562539,Aldea Cintrón,Aldea Cintron,Aldea Cintron,18.29745,-65.64461,P,PPL,PR,,53,7268863,,,0,11,13,America/Puerto_Rico,8/3/15
4562540,Alegría,Alegria,Alegria,18.37467,-66.19739,P,PPL,PR,,21,7268714,,,0,45,51,America/Puerto_Rico,8/3/15
4562541,Alento de Puerto Rico,Alento de Puerto Rico,,18.46633,-66.10878,S,BLDG,PR,,127,7268975,,,0,9,12,America/Puerto_Rico,8/3/15
4562542,Algarrobo,Algarrobo,"Colonia Algarrobo,Hacienda Algarrobos",17.98052,-66.08433,P,PPL,PR,,57,7268181,,,0,28,28,America/Puerto_Rico,8/3/15
4562543,Algarrobo,Algarrobo,,17.97386,-66.09128,P,PPL,PR,,57,7268181,,,0,15,16,America/Puerto_Rico,8/3/15
4562544,Punta Algarrobo,Punta Algarrobo,,18.2269,-67.17324,T,CAPE,PR,,97,,,,0,2,1,America/Puerto_Rico,2/16/07
4562545,Bahía Algodones,Bahia Algodones,"Algodones Bay,Bahia Algodones,Bahia de Algodones",18.19024,-65.69461,H,BAY,PR,,103,,,,0,10,22,America/Puerto_Rico,10/8/14
4562546,Punta Algodones,Punta Algodones,"Algodon,Algodonos,Point Algodones",18.19801,-65.65183,T,CAPE,PR,,37,,,,0,0,-9999,America/Puerto_Rico,10/8/14
4562547,Alhambra Jerusalem,Alhambra Jerusalem,,18.32523,-65.65155,P,PPL,PR,,53,7268385,,,0,10,12,America/Puerto_Rico,8/3/15
4562548,Alianza,Alianza,,18.45161,-66.85351,P,PPL,PR,,27,7269093,,,0,112,119,America/Puerto_Rico,8/3/15
4562549,Allende,Allende,,18.40189,-66.60323,P,PPL,PR,,13,7268942,,,0,150,156,America/Puerto_Rico,8/3/15
4562550,Almácigo Bajo,Almacigo Bajo,Almacigo Bajo,18.05469,-66.86629,P,PPL,PR,,153,7268186,,,0,83,93,America/Puerto_Rico,8/3/15
4562551,Almira,Almira,,18.43689,-66.17072,P,PPL,PR,,19,,,,0,3,5,America/Puerto_Rico,2/16/07
4562552,Bahía de Almodóvar,Bahia de Almodovar,"Bahia de Almodovar,Caldera Basin,The Basin",18.29801,-65.25516,H,BAY,PR,,49,,,,0,1,-9999,America/Puerto_Rico,2/16/07
4562553,Punta Almodovar,Punta Almodovar,"Navarro Point,Punta Almodoba,Punta Almodobar,Punta Almodóba,Punta Almodóbar",18.30079,-65.25516,T,CAPE,PR,,49,,,,0,3,-1,America/Puerto_Rico,2/16/07
4562554,Punta Aloe,Punta Aloe,,18.2969,-65.29544,T,CAPE,PR,,49,,,,0,88,81,America/Puerto_Rico,2/16/07
4562555,Alta Monte,Alta Monte,,18.48217,-66.8449,P,PPL,PR,,27,7268311,,,0,39,40,America/Puerto_Rico,8/3/15
4562556,Altagracia,Altagracia,Comunidad Altagracia,18.438,-66.47739,P,PPL,PR,,91,7268611,,,0,43,45,America/Puerto_Rico,8/3/15
4562557,Altamesa,Altamesa,,18.3805,-66.09378,P,PPL,PR,,127,7268666,,,0,44,46,America/Puerto_Rico,8/3/15
